"tau2","model","heuristic","optDelta","minPsi","MIV","MISB","pc"
0.22,"Linear (1 factor)","Split",0.197917268866526,0.976293096440173,0.453268985385804,0.523024111054369,0.234520787991171
0.24,"Linear (1 factor)","Split",0.201308683221362,1.0236928870518,0.456559126121252,0.56713376093055,0.173205080756888
0.26,"Linear (1 factor)","Split",0.204311173035624,1.07083286222255,0.459508655606653,0.611324206615901,0.180277563773199
0.28,"Linear (1 factor)","Split",0.207036808883776,1.11775476130524,0.462215495804317,0.655539265500919,0.374165738677394
0.3,"Linear (1 factor)","Split",0.209513064855162,1.16449132554277,0.464698360959855,0.69979296458291,0.387298334620742
0.32,"Linear (1 factor)","Split",0.211779919983213,1.21106865724571,0.466990638142357,0.744078019103352,0.4
0.34,"Linear (1 factor)","Split",0.213866936171339,1.25750786366515,0.469117094724996,0.788390768940157,0.412310562561766
0.36,"Linear (1 factor)","Split",0.215798094526041,1.3038262311177,0.471098156387633,0.832728074730071,0.424264068711929
0.38,"Linear (1 factor)","Split",0.217593063084835,1.35003807860454,0.472950822325591,0.877087256278944,0.308220700148449
0.4,"Linear (1 factor)","Split",0.219268136538312,1.39615538903147,0.474689362314409,0.921466026717065,0.316227766016838
0.42,"Linear (1 factor)","Split",0.220836941476169,1.44218828324172,0.476325852167796,0.965862431073921,0.229128784747792
0.44,"Linear (1 factor)","Split",0.222302987415772,1.48814538115446,0.477862202861184,1.01028317829327,0.234520787991171
0.46,"Linear (1 factor)","Split",0.223711670518536,1.53403408314036,0.479344720332251,1.05468936280811,0.479583152331272
0.48,"Linear (1 factor)","Split",0.225011314805353,1.57986077208998,0.480717824207054,1.09914294788293,0.489897948556636
0.5,"Linear (1 factor)","Split",0.226251244878543,1.62563101738553,0.48203251189401,1.14359850549152,0.5
0.52,"Linear (1 factor)","Split",0.227431936067916,1.67134967753797,0.483288538192066,1.1880611393459,0.509901951359279
0.54,"Linear (1 factor)","Split",0.228555171614725,1.71702102910216,0.4844871173506,1.23253391175156,0.519615242270663
0.56,"Linear (1 factor)","Split",0.229625753572726,1.76264885137553,0.485632772490922,1.27701607888461,0.374165738677394
0.58,"Linear (1 factor)","Split",0.230647916594994,1.80823649980403,0.486729518209876,1.32150698159415,0.380788655293195
0.6,"Linear (1 factor)","Split",0.231666106148958,1.8537869656034,0.487824758253325,1.36596220735007,0.273861278752583
0.62,"Linear (1 factor)","Split",0.232602274002123,1.89930292135889,0.488834143580359,1.41046877777853,0.278388218141501
0.64,"Linear (1 factor)","Split",0.233500097259728,1.9447867788108,0.489804273406555,1.45498250540424,0.565685424949238
0.66,"Linear (1 factor)","Split",0.234362252323545,1.99024070763409,0.49073774346319,1.4995029641709,0.574456264653803
0.68,"Linear (1 factor)","Split",0.235191148793733,2.03566667043621,0.491636902333139,1.54402976810307,0.58309518948453
0.7,"Linear (1 factor)","Split",0.235994177658323,2.08106644671926,0.492509552850212,1.58855689386904,0.591607978309962
0.72,"Linear (1 factor)","Split",0.236769700435074,2.1264416556782,0.49335372922801,1.63308792645019,0.6
0.74,"Linear (1 factor)","Split",0.237518452223443,2.17179377518511,0.494170055086186,1.67762372009892,0.430116263352131
0.76,"Linear (1 factor)","Split",0.238242070404586,2.21712415689898,0.494960155781705,1.72216400111727,0.435889894354067
0.78,"Linear (1 factor)","Split",0.238942050288904,2.26243404010004,0.495725521357941,1.7667085187421,0.31224989991992
0.8,"Linear (1 factor)","Split",0.239619760829451,2.30772456362577,0.496467520968994,1.81125704265678,0.316227766016838
0.82,"Linear (1 factor)","Split",0.240276458246114,2.35299677627609,0.49718741544966,1.85580936082643,0.640312423743285
0.84,"Linear (1 factor)","Split",0.24091329788148,2.39825164591632,0.497886368306889,1.90036527760943,0.648074069840786
0.86,"Linear (1 factor)","Split",0.241531344554972,2.44349006746769,0.498565455363642,1.94492461210404,0.6557438524302
0.88,"Linear (1 factor)","Split",0.242131581636311,2.48871286994384,0.499225673247664,1.98948719669618,0.66332495807108
0.9,"Linear (1 factor)","Split",0.242714919021631,2.53392082266612,0.499867946885529,2.0340528757806,0.670820393249937
0.92,"Linear (1 factor)","Split",0.243282200166968,2.57911464076948,0.500493136138288,2.07862150463119,0.479583152331272
0.94,"Linear (1 factor)","Split",0.243874902046559,2.62429498883293,0.501146950909696,2.12314803792324,0.484767985741633
0.96,"Linear (1 factor)","Split",0.244412365726556,2.66946248585078,0.501740356864372,2.16772212898641,0.346410161513775
0.98,"Linear (1 factor)","Split",0.244935963672447,2.71461771445634,0.5023189215029,2.21229879295344,0.35
1,"Linear (1 factor)","Split",0.245446329195937,2.75976121691971,0.502883297382634,2.25687791953707,0.707106781186548
0,"Linear (1 factor)","Half split",0.00014582772188295,0.333357643270921,0.333357643270921,0,0
0.004,"Linear (1 factor)","Half split",0.0944710273174067,0.376845314750171,0.351578480655753,0.0252668340944182,0.0447213595499958
0.008,"Linear (1 factor)","Half split",0.126555869644687,0.398992829390477,0.3590963715291,0.0398964578613767,0.0632455532033676
0.012,"Linear (1 factor)","Half split",0.148966450967771,0.417653731626481,0.364819004310643,0.0528347273158379,0.0774596669241483
0.016,"Linear (1 factor)","Half split",0.166478524209063,0.434527720690459,0.369584189885837,0.0649435308046225,0.0632455532033676
0.02,"Linear (1 factor)","Half split",0.180958413979141,0.450273290132886,0.37373124337527,0.0765420467576158,0.0707106781186548
0.024,"Linear (1 factor)","Half split",0.193335921658986,0.465228039452865,0.377432378439788,0.0877956610130775,0.0547722557505166
